4312231000000000000010001	2单元	43122310000000000000100010001
3202144540000000000000001	10楼	32021445400000000000000010001
4403054010000000000000001	东座一楼	44030540100000000000000010001
6105021170000000000010001	24楼	61050211700000000000100010001
4502051030000000000000001	2单元	45020510300000000000000010001
4404041030000000000010001	1单元	44040410300000000000100010001
3307821070000000000010001	7楼	33078210700000000000000000001
4312231000000000000010001	2单元	43122310000000000000100010001
3205064060000000000010001	10楼	32021445400000000000000010001
4404041030000000000010001	东座一楼	44030540100000000000000010001
6105021170000000000010001	24楼	61050211700000000000100010001
4502051030001	2单元	43122310000000000000100010001
4404041030000000000010001	1单元	44040410300000000000100010001
3307821070000000000010001	7楼	33078210700000000000000000001
4312231000000000000010001	2单元	43122310000000000000100010001
3205064060000000000010001	10楼	32021445400000000000000010001
4404041030000000000010001	东座一楼	44030540100000000000000010001
6105021170000000000010001	24楼	61050211700000000000100010001
4502051030001	2单元	43122310000000000000100010001
4404041030000000000010001	1单元	44040410300000000000100010001
3307821070000000000010001	7楼	33078210700000000000000000001
